 t_index                      term   df
    2831                   deadlin   13
    2832                  deadlock    3
    2833                    deadon    1
    2834                      deaf    1
    2835                      deal   98
    2836                     dealt    6
    2837                      dean    5
    2838                      dear    5
    2839                  dearborn    1
    2840                    dearli    3
    2841                     death  210
    2842                 deathdefi    1
    2843                  deathrow    1
    2844                     debar    1
    2845                     debat   65
    2846                     debbi    5
    2847                   deborah    3
    2848                     debra    2
    2849                     debri   47
    2850                      debt   14
    2851                     debut    1
    2852                       dec   48
    2853                     decad   81
    2854                decadesold    2
    2855                     decay    2
    2856                    deceas    8
    2857                    deceit    1
    2858                    decemb   78
    2859                    decent    2
    2860                   decentr    3
    2861                    decept    1
    2862                   decibel    1
    2863                     decid  103
    2864                 decidedli    1
    2865                     decis  172
    2866               decisionmak    2
    2867                      deck   44
    2868                    declar   99
    2869                declassifi    2
    2870                    declin   48
    2871                     decod    2
    2872                  decompos    1
    2873                     decor    2
    2874                    decrat    2
    2875                     decre    2
    2876                     decri    3
    2877                       ded    1
    2878                     dedic    9
    2879                    dedinj    5
    2880                       dee    1
    2881                      deed    3
    2882                      deem    8
    2883                      deep   42
    2884                    deepen    5
    2885                    deeper    3
    2886                   deepest    1
    2887                    deepli   23
    2888                   deepsea    4
    2889                  deepseat    2
    2890                   deepwat    6
    2891                     defac    1
    2892                   default    2
    2893                    defeat  143
    2894                    defect    2
    2895                    defenc    3
    2896                    defend  121
    2897                    defens  153
    2898                     defer    2
    2899                      defi    5
    2900                   defianc    7
    2901                   defiant    6
    2902                 defiantli    2
    2903                    defici    1
    2904                   deficit   11
    2905                     defin    7
    2906                   definit   37
    2907                    deflat    1
    2908                   deflect    5
    2909                    defoli    1
    2910                    defolt    1
    2911                  deforest   10
    2912                   defraud    3
    2913                   defunct    1
    2914                     defus    3
    2915                      degr    1
    2916                    degrad    4
    2917                     degre   23
    2918                   dehuman    1
    2919                    dehydr    3
    2920                       del   11
    2921                   delawar   25
    2922                     delay   34
    2923                     deleg   10
    2924                     delhi   17
    2925                      deli    1
    2926                   deliber   15
    2927                     delic    7
    2928                    delici    1
    2929                   delight    5
    2930                     deliv   36
    2931                  deliveri    2
    2932                      dell    1
    2933                   delsaut    2
    2934                     delta    9
    2935                     delus    2
    2936                      delv    1
    2937                    demaci    1
    2938                  demagogu    2
    2939                    demand   75
    2940                    demarc    1
    2941                    demean    1
    2942                  demeanor    2
    2943                dementieva    5
    2944                    demick    1
    2945                 demilitar    1
    2946                     demis    6
    2947                 democraci   72
    2948                  democrat  188
    2949               democratich    1
    2950                 demograph    1
    2951                  demolish    4
    2952                   demolit    5
    2953                     demon    4
    2954                  demonstr   88
    2955                     demot    2
    2956                     demur    1
    2957                 demystifi    1
    2958                     dengu    1
    2959                      deni   95
    2960                    denial    5
    2961                    denigr    1
    2962                     denis   14
    2963                    denisa    3
    2964                      denn    1
    2965                     denni    8
    2966                   denomin    1
    2967                   denounc   13
    2968                      dens    4
    2969                      dent    2
    2970                    dental    1
    2971                    denver   21
    2972                    depart  180
    2973                  departur   20
    2974                    depend   34
    2975                    depict    1
    2976                    deplan    1
    2977                    deplet    2
    2978                    deplor    2
    2979                    deploy   22
    2980                    deport    3
    2981               deportieren    1
    2982                     depos    7
    2983                   deposit    4
    2984                     depot    4
    2985                   depress    3
    2986                    depriv    1
    2987                     depth   12
    2988                    deputi   46
    2989                    dequia    2
    2990                    derail    1
    2991                  derelict    1
    2992                     deriv    3
    2993                     desai    1
    2994                   descend   18
    2995                   descent    9
    2996                   describ   80
    2997                  descript    8
    2998                  desegreg    1
    2999                    desert   31
    3000                desertstyl    3
    3001                    deserv   15
    3002                deservedli    2
    3003                    design   34
    3004                   designe    1
    3005                     desir   15
    3006              desirepaulin    1
    3007                    desist    3
    3008                      desk    6
    3009                     desol    1
    3010                   despair    6
    3011                    desper   39
    3012                    despic   12
    3013                    despis    3
    3014                    despit  116
    3015                    despot    1
    3016                  destabil    3
    3017                    destin   10
    3018                   destini    1
    3019                  destitut    1
    3020                   destroy  227
    3021                  destruct   27
    3022                    desvid    1
    3023                    detach    3
    3024                    detail   89
    3025                    detain   31
    3026                   detaine    2
    3027                     detat    7
    3028                    detect   14
    3029                  detector    1
    3030                    detent   10
    3031                     deter   15
    3032                    deterg    1
    3033                  deterior   11
    3034                  determin  101
    3035                    deterr    2
    3036                    detest    1
    3037                     deton   30
    3038                    detour    4
    3039                   detritu    1
    3040                   detroit    3
    3041                      deuc   12
    3042                    deutch    8
    3043                   deutsch    1
    3044                    devast   58
    3045             devastatingli    1
    3046                   develop   97
    3047                    deviat    1
    3048                     devic   15
    3049                  devilish    1
    3050                     devis    1
    3051                     devot   15
    3052                    devour    2
    3053                  devoutli    1
    3054                     dewat    2
    3055                     dewin    2
    3056                       dga    2
    3057                     dhabi    4
    3058                   dhahran   12
    3059                    dharan    1
    3060                   dhingra    1
    3061                   dhrumal    1
    3062                    diabak    1
    3063                   diagnos    5
    3064                  diagnosi    1
    3065                  diagnost    1
    3066               diagnostico    1
    3067                   diagram    1
    3068                   dialect    1
    3069                    diallo    2
    3070                     dialo    3
    3071                   dialogu    8
    3072                    diamet    3
    3073                   diamond    3
    3074                      dian    2
    3075                     diann    3
    3076                     diari    1
    3077                  diarrhea    2
    3078                      diaz    2
    3079                      dick   36
    3080                 dickinson    1
    3081               dictablanda    1
    3082                 dictadura    1
    3083                    dictat   29
    3084                 dictatori    3
    3085              dictatorship   10
    3086                   diction    4
    3087                dictionari    1
    3088                  dictment    1
    3089                     didnt  128
    3090                       die  192
    3091                     diego    5
    3092                dienstbier    2
    3093                    diesel    2
    3094                      diet    3
    3095                    differ  104
    3096                 difficult   84
    3097                difficulti   21
    3098                    diffus    1
    3099                       dig   49
    3100                    digest    1
    3101                    digger    3
    3102                     digit    2
    3103                 dignitari    5
    3104                   digniti    8
    3105                   dilapid    1
    3106                   dilemma    4
    3107                    dilfer    1
    3108                     dilig    1
    3109                     dilut    1
    3110                      dime    1
    3111                    dimens    2
    3112                  diminish    5
    3113                   diminut    1
    3114                    dimitr    1
    3115                   dimitri    2
    3116                    dimmer    1
    3117                      dina    1
    3118                     dinar    2
    3119                      dind    3
    3120                      dine    8
    3121                    dinghi    4
    3122                     dingi    1
    3123                      dinh    2
    3124                    dinkic    3
    3125                    dinner   10
    3126                    dioulo    1
    3127                       dip    2
    3128                 diplomaci    8
    3129                  diplomat   69
    3130                diplospeak    4
    3131                      dire    1
    3132                    direct   75
    3133                  directli   40
    3134                  director  101
    3135             directorgener    2
    3136                    diring    1
    3137                   dirksen    1
    3138                      dirt   33
    3139               dirtentrust    1
    3140                     dirti   11
    3141                  dirtiest    1
    3142                  dirtpack    1
    3143                  dirtpoor    3
    3144                    disabl    4
    3145               disadvantag    1
    3146                 disaffect    1
    3147                    disagr    3
    3148                   disagre    8
    3149                 disappear   24
    3150                disappoint   25
    3151                 disapprov    1
    3152                    disarm    1
    3153                   disarma    1
    3154                  disarray    2
    3155                disassembl    1
    3156                    disast   76
    3157                   disastr    8
    3158                   disband    6
    3159                    disbar    4
    3160                 disbelief    5
    3161                      disc    1
    3162                   discard    2
    3163                  discharg    3
    3164                 disciplin   13
    3165              disciplinari    6
    3166                   disclos   12
    3167                 disclosur    7
    3168                discomfort    4
    3169                   discont    2
    3170                discontinu    1
    3171                   discord    2
    3172                discothequ    1
    3173                  discount    1
    3174                 discourag    7
    3175                    discov   37
    3176                 discoveri   12
    3177                   discovi    1
    3178                 discredit   10
    3179                  discreet    1
    3180                   discrep    4
    3181                   discret    4
    3182                 discrimin    2
    3183                   discuss   75
    3184                   disdain    4
    3185                    diseas    9
    3186             disenfranchis    3
    3187                    disgaz    1
    3188                   disgrac   12
    3189                 disgruntl    5
    3190                   disguis    9
    3191                   disgust    1
    3192                      dish    1
    3193                 dishdasha    1
    3194                dishearten    2
    3195                  dishonor    2
    3196                  disillus    2
    3197                 disinfect    5
    3198                 disinform    1
    3199                 disintegr   10
    3200                    dislik    1
    3201                    disloc    2
    3202                   dislodg    2
    3203                    dismal    1
    3204                  dismantl    8
    3205                    dismay    3
    3206                   dismemb    1
    3207                   dismiss   32
    3208                  disobedi   14
    3209                    disord    3
    3210                    disori    2
    3211                    dispar    4
    3212                  disparag    2
    3213                  dispatch   26
    3214                    dispel    2
    3215                   dispens    1
    3216                   dispers   13
    3217                   displac    2
    3218                   display   29
    3219                  displeas    1
    3220                displeasur    1
    3221                    dispos   12
    3222                  disposit    1
    3223                   disprov    2
    3224                    disput   33
    3225                disqualifi    6
    3226                  disquiet    1
    3227                 disregard    5
    3228                  disreput    1
    3229                disrespect    2
    3230                   disrupt    9
    3231                   dissect    1
    3232                  dissemin    4
    3233                   dissent    5
    3234                    dissid    6
    3235                    dissip    1
    3236                   dissolv   12
    3237                   dissuas    1
    3238                   distanc   16
    3239                   distant    7
    3240                  distinct    7
    3241                distinctli    1
    3242               distinguish    7
    3243                   distort    6
    3244                  distract    8
    3245                distraught   13
    3246                  distress    4
    3247                 distribut   26
    3248                  district   38
    3249                  distrust    1
    3250                   disturb    9
    3251                     disun    2
    3252                     ditch    2
    3253                      dive   21
    3254                     diver   67
    3255                    divers    8
    3256                 diversifi    1
    3257                    divert    8
    3258                     divid   33
    3259                     divis   26
    3260                    divorc    3
    3261                    divulg    4
    3262                    dixvil    1
    3263                     dizzi    2
    3264                  djahouri    1
    3265                  djibouti   20
    3266                    djikal    1
    3267                     djila    1
    3268                  djindjic   17
    3269         djindjickostunica    1
    3270                  djukanov    3
    3271                     djuro    1
    3272                     dmass    3
    3273                     dmich    1
    3274                    dmitri   12
    3275                       dmo    1
    3276                      dmon    1
    3277                       dna    5
    3278                   dnevnik    1
    3279                       dni    2
    3280                      doan    1
    3281                   dobrica    1
    3282                dochterman    1
    3283                      dock   42
    3284                   docksid    2
    3285                    doctor   51
    3286                   doctrin    1
    3287                  document   44
    3288               documentari    1
    3289                      dodg    1
    3290                     dodgi    3
    3291                      doer    1
    3292                    doesnt   43
    3293                       dog   32
    3294                    dogged    1
    3295                  doggedli    1
    3296                      doha    1
    3297                     dokic    9
    3298                      doll    1
    3299                    dollar   37
    3300                   dolphin    1
    3301                    domain    1
    3302                      dome    2
    3303                    domest   16
    3304                     domin   38
    3305                 dominican    1
    3306                   dominik   16
    3307                 dominikov    4
    3308                  dominion    2
    3309                  dominiqu    1
    3310                    domino    2
    3311                 dominolik    1
    3312                    donald   35
    3313                 donaldson    2
    3314                     donat   19
    3315                      done  109
    3316                      dong    1
    3317                    donkey    1
    3318                     donna    2
    3319                     donor   10
    3320                    donoth    1
    3321                      dont  207
    3322                     dooda    1
    3323                      doom    9
    3324                      door   47
    3325                doortodoor    1
    3326                   doorway    2
    3327                    dopher    1
    3328                      dora    1
    3329                    dorcol    1
    3330                    doreen    1
    3331                      dori    1
    3332                 dormitori    1
    3333                   dorothi    3
    3334                      dose    1
    3335                      doss    1
    3336               dostoyevski    1
    3337                       dot    3
    3338                     doubl   35
    3339               doublecheck    1
    3340                   doubled    1
    3341               doubledigit    1
    3342               doublefault   11
    3343                     doubt   50
    3344                    doudou    1
    3345                      doug    1
    3346                    dougal    9
    3347                 dougherti    2
    3348                    dougla    1
    3349                      dour    2
    3350                      dove    1
    3351                     dover   24
    3352                       dow    2
    3353                  downbeat    1
    3354               downcorrect    1
    3355                   downfal   19
    3356                  downplay    3
    3357                  downpour    1
    3358                 downstair    2
    3359              downthemiddl    1
    3360                  downtown   29
    3361                      dows    1
    3362                     doyal    1
    3363                      doze    1
    3364                     dozen  112
    3365                      dozo    1
    3366                 draconian    2
    3367                     draft   16
    3368                      drag   15
    3369                    dragan    6
    3370                   dragana    1
    3371                   dragesa    1
    3372                  dragisha    1
    3373                 dragoljub    8
    3374                  dragomir    2
    3375                    dragon    2
    3376                     drain    8
    3377                     drama   13
    3378                    draman   15
    3379                    dramat   33
    3380                     drape   12
    3381                    draper    2
    3382                   draskov    4
    3383                   drastic    1
    3384                      draw   48
    3385                     drawn   17
    3386                     dread    1
    3387                     dream   20
    3388                     dress   24
    3389                   dresser    1
    3390                      drew   23
    3391                    drexel    1
    3392                       dri   16
    3393                   driedup    1
    3394                     drift    3
    3395                     drill    8
    3396                     drink   13
    3397                      drip    1
    3398                    drissa    3
    3399                     drive   61
    3400                    driven   16
    3401                    driver   24
    3402                  driveway    1
    3403                    drizzl    1
    3404                   drizzli    1
    3405                      drop   51
    3406                    dropin    1
    3407                   drought    2
    3408                     drove   22
    3409                     drown    6
    3410                      drub    1
    3411                     drudg    1
    3412                      drug   41
    3413                    drugli    1
    3414                   drugmak    1
    3415                      drum    1
    3416                  drumbeat    2
    3417                   drummer    2
    3418                     drunk    3
    3419                   drunken    1
    3420                   drydock    1
    3421                       dsd    2
    3422                  dsedalia    1
    3423                      dual    1
    3424                      duan    1
    3425                       dub    3
    3426                     dubai    5
    3427                    dubiou    1
    3428                     duboc    1
    3429                       duc    7
    3430                      duck    2
    3431                      duct    6
    3432                    dudley   12
    3433                       due   38
    3434                      duel    3
    3435                    duffel    2
    3436                     duffi    4
    3437                     duffl    1
    3438                       dug   21
    3439                    duglon    1
    3440                    duguid    2
    3441                     dugup    1
    3442                      duke    1
    3443                      dull    1
    3444                    duluth    1
    3445                      duma    1
    3446                      dump   12
    3447                       duo    1
    3448                   duopoli    1
    3449                      dupe    1
    3450                    duplic    1
    3451                   durango    2
    3452                    duress    1
    3453                     dusan    1
    3454                      dusk    2
    3455                      dust   13
    3456                     dusti   11
    3457                     dutch    3
    3458                      duti   27
    3459                     duval    1
    3460                     dwarf    1
    3461                     dwell    2
    3462                       dwi    1
    3463                    dwight    2
    3464                    dwindl   11
    3465                      dwva    3
    3466                     dwyer    1
    3467                        dy    3
    3468                       dye    2
    3469                    dygalo    2
    3470                     dynam    4
    3471                   dynamit    4
    3472               dynamitetip    4
    3473                   dynasti    1
    3474                  dysfunct    1
    3475                     eager   18
    3476                      eagl    1
    3477                  eagleton    1
    3478                     eaker    1
    3479                   eantwar    1
    3480                       ear    7
    3481                   eardrum    2
    3482                     earli  180
    3483                   earlier  188
    3484                  earliest    7
    3485               earlyseason    1
    3486                   earmark    8
    3487                      earn   22
    3488                   earnest    5
    3489                   earshot    1
    3490                     earth   29
    3491                  earthmov    3
    3492                 earthquak  110
    3493          earthquakedriven    1
    3494           earthquakeravag    1
    3495        earthquakestricken    1
    3496           earthquaketrigg    2
    3497                       eas   27
    3498                      easi   34
    3499                    easier   12
    3500                   easiest    2
    3501                    easili   25
    3502                    easley    1
    3503                      east  127
    3504                   eastern   40
    3505                       eat   15
    3506                     eaten    2
    3507                 eavesdrop    1
    3508                        eb    3
    3509                       ebb    5
    3510                      ebri    1
    3511                     eccel    1
    3512                echeverria    1
    3513                      echo   28
    3514                    eclips    2
    3515                    ecolog    1
    3516                 ecologist    1
    3517                  ecommerc    1
    3518                  econolin    1
    3519                    econom   83
    3520                   economi   73
    3521                 economist   12
    3522                    ecstat    1
    3523                   ecuador   10
    3524                ecuadorian    1
    3525                        ed    3
    3526                    edberg    1
    3527                       edg   46
    3528                     edgar    1
    3529                     edict    1
    3530                    edific    1
    3531                   edikipa    1
    3532                 edinburgh    1
    3533                      edit   16
    3534                    editor   16
    3535                   editori   16
    3536             editorinchief    1
    3537                    edmond   32
    3538                    edmund   25
    3539                   edmundo    1
    3540                       edt   13
    3541                    eduard    1
    3542                   eduardo    1
    3543                      educ   37
    3544                    edward    6
    3545                   edwardo    1
    3546                     edwin    2
    3547                      eeri    2
    3548                    eerili    1
    3549                    effect   76
    3550                    effici    4
    3551                    effort  185
    3552              effortlessli    1
    3553                       egg    5
    3554                   egoavil    3
    3555                   egotist    2
    3556                    egregi    1
    3557                     egypt   26
    3558                  egyptian   31
    3559                      ehud    8
    3560                     eight  104
    3561                  eightday    2
    3562          eighteenmonthold    1
    3563                    eighth   15
    3564             eighthcenturi    1
    3565                eighthseed    6
    3566                    eighti    2
    3567                  eightman    1
    3568                 eightmemb    1
    3569                eightmonth    1
    3570                eightvolum    1
    3571                 eightyear    3
    3572               eightyseven    2
    3573             eightyyearold    1
    3574                  eisenhow    3
    3575                    either   60
    3576                     eject    2
    3577                      ekra    1
    3578                        el    3
    3579                    elabor   24
    3580                     elana    1
    3581                     elast    1
    3582                      elat    1
    3583                   elattar    1
    3584                     elayn    1
    3585                    elbaum    1
    3586                     elbow    7
    3587                     elder    6
    3588                   elderli    5
    3589                    eldest    3
    3590                     elect  298
    3591               electionday    1
    3592             electionnight    1
    3593                   elector   80
    3594                    electr   42
    3595               electrician    3
    3596               electricpow    1
    3597                 electrifi    1
    3598                electrocut    1
    3599                  electron   11
    3600                      eleg    5
    3601                   element   21
    3602                elementari    2
    3603                     elena    6
    3604                      elev    4
    3605                    eleven   12
    3606                      elia    4
    3607                     eliac    1
    3608                     elier    1
    3609                      elig   10
    3610                    elimin   32
    3611                      elit    7
    3612                 elizabeth    7
    3613                     ellen    5
    3614                      elli    2
    3615                    elliot    2
    3616                    ellips    2
    3617                    ellipt    1
    3618                   ellwood    1
    3619                   elmisri    1
    3620              elnhandcount    1
    3621                    elnleg    1
    3622               elnmilitari    1
    3623                    elnrdp    1
    3624                     elong    1
    3625                       els   34
    3626                  elsewher   55
    3627                  elsheikh    3
    3628                   elsirri    1
    3629                     elton    1
    3630                      elud   12
    3631                      elus    4
    3632                     email    7
    3633                      eman    1
    3634                   emanuel    1
    3635                   embargo   31
    3636                    embark    4
    3637                 embarrass   10
    3638                   embassi  116
    3639                   embattl    9
    3640                     embed    1
    3641                 embellish    1
    3642                  emblemat    1
    3643                    embrac   20
    3644                   embroil    1
    3645                     emerg  109
    3646                   emerson    2
    3647                     emigr    7
    3648                      emil    5
    3649                     emili    2
    3650                    emilio    2
    3651                      emin    2
    3652                      emir    7
    3653                     emiss    1
    3654                  emissari    1
    3655                      emit    1
    3656                     emkne    1
    3657                  emmanuel    3
    3658                      emot   47
    3659                  empathet    1
    3660                   empathi    1
    3661                   emperor    4
    3662                    emphas    9
    3663                   emphasi    7
    3664                    emphat    5
    3665                     empir    6
    3666                    employ   19
    3667                   employe   50
    3668                     empow    2
    3669                     empti   14
    3670                      emul    3
    3671                     enabl   10
    3672                     enact    4
    3673                   encircl    1
    3674                    enclos    1
    3675                     encor    1
    3676                   encount   15
    3677                  encourag   33
    3678                       end  268
    3679                    endang    5
    3680                    enddat    2
    3681                    endear    1
    3682                  endeavor    3
    3683                     endem    1
    3684              endoftheyear    2
    3685                    endors   12
    3686                     endur   18
    3687                     enemi   46
    3688                     energ    3
    3689                   energet    1
    3690                    energi   29
    3691                    enforc   44
    3692                     engag   24
    3693                    engend    2
    3694                     engin   50
    3695               engineerman    1
    3696                 engineman    1
    3697                engineroom    2
    3698                   england    2
    3699                   english   13
    3700              englishderiv    1
    3701            englishlanguag    3
    3702              englishspeak    4
    3703                    engrav    1
    3704                    engulf    7
    3705                    enhanc    5
    3706                   enigmat    1
    3707                    enjoin    1
    3708                     enjoy   19
    3709                    enlarg    4
    3710                    enlist   12
    3711                    enmesh    1
    3712                    enmiti    2
    3713                     enorm   27
    3714                    enough  136
    3715                   enqvist    1
    3716                     enrag    2
    3717                    enrich    1
    3718                   ensembl    2
    3719                    ensign    4
    3720                    ensnar    2
    3721                      ensu    9
    3722                     ensul    1
    3723                     ensur   34
    3724                    entail    1
    3725                   entangl    1
    3726                     enter   64
    3727                 enterpris    4
    3728                 entertain    5
    3729                enthusiasm    8
    3730                enthusiast    7
    3731                     entic    4
    3732                     entir   44
    3733                  entireti    1
    3734                    entiti    2
    3735                    entitl    6
    3736                    entomb    4
    3737                  entourag    3
    3738                   entranc    7
    3739                  entrench    2
    3740              entrepreneur    2
    3741             entrepreneuri    2
    3742          entrepreneurship    5
    3743                     entri    3
    3744                   entrust    1
    3745                   envelop    1
    3746                      envi    1
    3747                   environ    8
    3748               environment   11
    3749          environmentalist    3
    3750                     envis    2
    3751                   envisag    1
    3752                     envoy    7
    3753                       epa    1
    3754                   epicent   31
    3755                   epicmra    2
    3756                    epidem    2
    3757                  epiphani    1
    3758                   episcop    3
    3759                    episod    2
    3760                     equal   20
    3761                   equanim    1
    3762                     equip   88
    3763                   equival   12
    3764                        er    1
    3765                       era   43
    3766                      eras   11
    3767                     erect    7
    3768                     erena    1
    3769                       eri    3
    3770                      eric    6
    3771                   erinson    1
    3772                    erlang    1
    3773                   ernesto    4
    3774                      erni    4
    3775                      erod    8
    3776                      eros    4
    3777                    errand    1
    3778                     errat    8
    3779                     erron    3
    3780                     error   47
    3781                 errorpron    1
    3782                     errrr    1
    3783                     erupt   18
    3784                      esam    1
    3785                     escal    9
    3786                     escap   85
    3787                    escape   28
    3788                    escort   10
    3789                     escud    3
    3790                    especi   74
    3791                 espehello    1
    3792                      espi    6
    3793                  espionag   34
    3794                   espitia    1
    3795                      espo    1
    3796                    espous    1
    3797                     essay    3
    3798                    essenc    3
    3799                   essenti   16
    3800                       est    1
    3801                 establish   49
    3802                     estat   18
    3803                     estim   63
    3804                   estrada    1
    3805                   estrang    1
    3806                      etar    1
    3807                  etcetera    1
    3808                     ethan    2
    3809                     ethic    6
    3810                  ethiopia    1
    3811                    ethnic   34
    3812                ethnocentr    2
    3813                     etoge    1
    3814                        eu    1
    3815                     eugen    4
    3816                     eulog    3
    3817                    euphor    1
    3818                  euphoria    6
    3819                     europ   50
    3820                  european   52
    3821                     evacu   24
    3822                      evad    7
    3823                     evalu   11
    3824                      evan    5
    3825                    evanel    1
    3826                    evapor    3
    3827                      evas   14
    3828                       eve   62
    3829                    evelyn    2
    3830                      even  311
    3831                     evenh    1
    3832                  evenhand    4
    3833                    evenli    5
    3834                     event   85
    3835                    eventu   45
    3836                      ever  106
    3837                   everett    1
    3838                     everi   92
    3839                evershrink    2
    3840                  eversinc    1
    3841                     evert   11
    3842                everworsen    1
    3843                 everybodi   20
    3844                  everyday   10
    3845                   everyon   57
    3846                   everyth   77
    3847                 everywher   18
    3848                       evi    4
    3849                     evict    2
    3850                      evid  130
    3851                   evidenc    1
    3852              evidencegath    1
    3853                      evil    2
    3854                      evoc    1
    3855                      evok    1
    3856                    evolut    3
    3857                       ewe    4
    3858                   exacerb    1
    3859                     exact    8
    3860                   exactli   37
    3861                   exagger    4
    3862                     exalt    1
    3863                      exam    4
    3864                    examin   47
    3865                    exampl   40
    3866                   exasper    2
    3867                 excabinet    1
    3868                     excav   12
    3869                    exceed    5
    3870               exceedingli    1
    3871                     excel    5
    3872                    except   27
    3873                   excerpt    5
    3874                    excess    2
    3875                   exchang   23
    3876                     excia    2
    3877                     excit    9
    3878                   exclaim    1
    3879                    exclam    2
    3880                    exclud   20
    3881                    exclus   20
    3882                 exclusion    2
    3883              exclusionari    1
    3884                   excruci    1
    3885                     excus    7
    3886                    execut   71
    3887                 exemplari    1
    3888                 exemplifi    1
    3889                    exempt    2
    3890                   exercis   22
    3891                   exhaust   26
    3892                   exhibit    3
    3893                   exhilar    1
    3894                    exhort    2
    3895                    exhous    1
    3896                 exhusband    3
    3897                      exil   41
    3898                exintellig    7
    3899                  exintern    1
    3900                     exist   20
    3901                      exit   25
    3902                    exlead    1
    3903                     exnew    3
    3904                    exocet    1
    3905                     exodu    3
    3906                    exoner    1
    3907                    expand   18
    3908                    expans    5
    3909                   expatri    3
    3910                    expect  187
    3911               expectantli    1
    3912                    expedi    2
    3913                   expedit    4
    3914                     expel    5
    3915                expenditur    2
    3916                    expens   21
    3917                    experi   46
    3918                 experienc    8
    3919                    expert  118
    3920                  expertis    8
    3921                     expir    9
    3922                   explain   35
    3923                    explan   13
    3924                  explicit    4
    3925                explicitli    6
    3926                    explod   43
    3927                   exploit    7
    3928                    explor   13
    3929                    explos  222
    3930           explosivesladen    3
    3931            explosivespack    1
    3932                    export   19
    3933              exportimport    1
    3934                     expos    8
    3935                 expossess    2
    3936                  expresid    7
    3937                   express   74
    3938                expressnew    1
    3939                    expuls    1
    3940                  exquisit    1
    3941                   exsaudi    1
    3942                     exspi   12
    3943                    extend   38
    3944                    extens   34
    3945                    extent   27
    3946                  exterior    3
    3947                    extern   14
    3948                   extinct    2
    3949                extinguish    2
    3950                     extol    2
    3951                    extort    4
    3952                     extra   20
    3953                   extract    6
    3954                  extradit   33
    3955                  extraleg    1
